add_v_v,10,0.000000,0.000131
add_m_m,10,0.000001,0.000095
transp,10,0.000002,0.000068
mult_m_v,10,0.000001,0.000085
mult_m_m,10,0.000012,0.000077
add_v_v,100,0.000001,0.000061
add_m_m,100,0.000078,0.000083
transp,100,0.000114,0.000093
mult_m_v,100,0.000059,0.000073
mult_m_m,100,0.009690,0.004502
add_v_v,1000,0.000003,0.000051
add_m_m,1000,0.003808,0.001318
transp,1000,0.009400,0.003257
mult_m_v,1000,0.002747,0.001113
mult_m_m,1000,4.801640,1.523681
add_v_v,2000,0.000005,0.000056
add_m_m,2000,0.015563,0.004189
transp,2000,0.049709,0.016429
mult_m_v,2000,0.009187,0.002680
mult_m_m,2000,45.874971,21.199040
add_v_v,3000,0.000008,0.000055
add_m_m,3000,0.036371,0.009107
transp,3000,0.075437,0.015408
mult_m_v,3000,0.021271,0.006128
mult_m_m,3000,128.840068,59.565008
